"id","geom","longitud","latitud","concello_id","ubicacion","km"
42,POINT (-8.593171248852906 42.83821386791287),-8.593171248852906,42.83821386791287,Teo,71938,10.25
43,POINT (-8.594056875337506 42.836457927729164),-8.594056875337506,42.836457927729164,Teo,71938,10.5
44,POINT (-8.59649404944675 42.836469506516536),-8.59649404944675,42.836469506516536,Teo,71938,10.75
46,POINT (-8.600667048690555 42.83414792472075),-8.600667048690555,42.83414792472075,Teo,71938,11.25
36,POINT (-8.582445928136515 42.842693144905304),-8.582445928136515,42.842693144905304,Ames,71938,8.75
37,POINT (-8.584402305091961 42.84125153793261),-8.584402305091961,42.84125153793261,Teo,71938,9.0
38,POINT (-8.58672223457453 42.8404008955392),-8.58672223457453,42.8404008955392,Teo,71938,9.25
39,POINT (-8.588994031459375 42.839447833068306),-8.588994031459375,42.839447833068306,Ames,71938,9.5
40,POINT (-8.591235806191314 42.83893166537259),-8.591235806191314,42.83893166537259,Ames,71938,9.75
41,POINT (-8.59361762815303 42.838718746635834),-8.59361762815303,42.838718746635834,Teo,71938,10.0
45,POINT (-8.598800064073645 42.83569509650957),-8.598800064073645,42.83569509650957,Ames,71938,11.0
47,POINT (-8.602631997407393 42.83285800803751),-8.602631997407393,42.83285800803751,Teo,71938,11.5
48,POINT (-8.604737110277911 42.831614555363075),-8.604737110277911,42.831614555363075,Teo,71938,11.75
49,POINT (-8.605827142066591 42.829498721652094),-8.605827142066591,42.829498721652094,Teo,71938,12.0
50,POINT (-8.608062968680812 42.8288107792971),-8.608062968680812,42.8288107792971,Teo,71938,12.25
51,POINT (-8.610224250533431 42.82801367512997),-8.610224250533431,42.82801367512997,Teo,71938,12.5
52,POINT (-8.611134172470969 42.82594949600464),-8.611134172470969,42.82594949600464,Teo,71938,12.75
53,POINT (-8.61145049303456 42.82364819504003),-8.61145049303456,42.82364819504003,Teo,71938,13.0
54,POINT (-8.613134568239223 42.82192052877753),-8.613134568239223,42.82192052877753,Teo,71938,13.25
55,POINT (-8.615399334588421 42.82128913138488),-8.615399334588421,42.82128913138488,Teo,71938,13.5
56,POINT (-8.617189541409935 42.820773727516666),-8.617189541409935,42.820773727516666,Teo,71938,13.75
57,POINT (-8.61908877481525 42.81944447318428),-8.61908877481525,42.81944447318428,Teo,71938,14.0
58,POINT (-8.621019013491372 42.817987997492814),-8.621019013491372,42.817987997492814,Teo,71938,14.25
59,POINT (-8.622161390584935 42.81598998930534),-8.622161390584935,42.81598998930534,Teo,71938,14.5
60,POINT (-8.62048038110216 42.81469409137122),-8.62048038110216,42.81469409137122,Teo,71938,14.75
61,POINT (-8.621360468653439 42.81355650436141),-8.621360468653439,42.81355650436141,Teo,71938,15.0
62,POINT (-8.62288547161219 42.81175318558911),-8.62288547161219,42.81175318558911,Teo,71938,15.25
63,POINT (-8.624591541650858 42.81008935577981),-8.624591541650858,42.81008935577981,Teo,71938,15.5
64,POINT (-8.626928554027867 42.809498715848235),-8.626928554027867,42.809498715848235,Teo,71938,15.75
65,POINT (-8.629333936694335 42.80975450551822),-8.629333936694335,42.80975450551822,Rois,50101,16.0
66,POINT (-8.631080339694849 42.80946182889705),-8.631080339694849,42.80946182889705,Rois,50101,16.25
67,POINT (-8.633326613228695 42.808466800647054),-8.633326613228695,42.808466800647054,Rois,50101,16.5
68,POINT (-8.635624286083308 42.807568331283775),-8.635624286083308,42.807568331283775,Rois,50101,16.75
69,POINT (-8.637517788410998 42.80636139192622),-8.637517788410998,42.80636139192622,Rois,50101,17.0
70,POINT (-8.637899771578587 42.8043065990901),-8.637899771578587,42.8043065990901,Padrón,49133,17.25
71,POINT (-8.637452878654969 42.80295597432154),-8.637452878654969,42.80295597432154,Padrón,49133,17.5
72,POINT (-8.637151323772885 42.80111898948889),-8.637151323772885,42.80111898948889,Padrón,49133,17.75
73,POINT (-8.635130264461718 42.79990443655395),-8.635130264461718,42.79990443655395,Padrón,49133,18.0
74,POINT (-8.635972403454941 42.79903754017396),-8.635972403454941,42.79903754017396,Padrón,49133,18.25
75,POINT (-8.637933222275752 42.79806675887246),-8.637933222275752,42.79806675887246,Padrón,49133,18.5
76,POINT (-8.639333437520142 42.79642607737436),-8.639333437520142,42.79642607737436,Padrón,49133,18.75
77,POINT (-8.641670161484164 42.79601419294643),-8.641670161484164,42.79601419294643,Padrón,49133,19.0
78,POINT (-8.641873328792727 42.79425143323279),-8.641873328792727,42.79425143323279,Padrón,49133,19.25
79,POINT (-8.643695320663292 42.792621073826155),-8.643695320663292,42.792621073826155,Padrón,49133,19.5
80,POINT (-8.64484789216823 42.79068744862643),-8.64484789216823,42.79068744862643,Padrón,49133,19.75
81,POINT (-8.646634702043237 42.789883154888834),-8.646634702043237,42.789883154888834,Padrón,49133,20.0
82,POINT (-8.647735466160604 42.78811077522234),-8.647735466160604,42.78811077522234,Padrón,49133,20.25
