"id","geom","tipo","nome","enderezo","concello","cp","telefono","longitud","latitud"
15235,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 0 LETRA G",foz,"27780",,-7.2671643146812,43.5642080691472
15236,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 3º LETRA J",foz,"27780",,-7.2671643146812,43.5642080691472
15237,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17-BLOQUE A, PISO 4º LETRA C",foz,"27780",,-7.2671643146812,43.5642080691472
15238,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 1º LETRA I",foz,"27780",,-7.2671643146812,43.5642080691472
15239,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE 2, PISO 1º LETRA F",foz,"27780",,-7.2671643146812,43.5642080691472
15240,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 1º LETRA J",foz,"27780",,-7.2671643146812,43.5642080691472
15241,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 1º LETRA E",foz,"27780",,-7.2671643146812,43.5642080691472
15242,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 2º LETRA K",foz,"27780",,-7.2671643146812,43.5642080691472
15243,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 4º LETRA K",foz,"27780",,-7.2671643146812,43.5642080691472
15247,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 0 LETRA J",foz,"27780",,-7.2671643146812,43.5642080691472
15248,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 3º LETRA H",foz,"27780",,-7.2671643146812,43.5642080691472
15249,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE A, PISO 1º LETRA D",foz,"27780",,-7.2671643146812,43.5642080691472
15250,POINT (-7.2671643146812 43.5642080691472),vivendas_turisticas,APARTAMENTOS LAS CATEDRALES,"AV ASTURIAS Nº 17, BLOQUE B, PISO 4º LETRA L",foz,"27780",,-7.2671643146812,43.5642080691472
